,means_turns,means_shuffled_turns
syntax_penn_tok1,0.24707501623418848,0.320640457600639
syntax_penn_tok2,0.0439588487628384,0.055528912445101844
syntax_penn_lem1,0.2701900301304843,0.3567725352501298
syntax_penn_lem2,0.053902626487433714,0.07078055056722878
lexical_tok1,0.16557612143038913,0.07650043868625565
lexical_tok2,0.04571273483864831,0.009712364442198876
lexical_lem1,0.1767619419494247,0.08899150894389722
lexical_lem2,0.048357485866820114,0.010759701500542302
cosine_semanticL,0.4883792163539133,0.4475640900329372
utterance_length1,8.940613566000563,11.783171521035598
utterance_length2,9.001970166056854,11.438691118302769
