,ASD,TYP,ASD_rand,TYP_rand
syntax_penn_tok1,0.22350679741779278,0.25602636303125004,0.3151398980498171,0.32272020335746565
syntax_penn_tok2,0.0423203520592406,0.044581159355505745,0.05934857098179082,0.054084710530585646
syntax_penn_lem1,0.26039455288383834,0.27391040944979267,0.3594665552554956,0.35575393402907085
syntax_penn_lem2,0.05477948920499445,0.053569588919365974,0.06927449726857199,0.07134998499085358
lexical_tok1,0.15463907636122085,0.16973007485860098,0.0718829369343967,0.07824630282732016
lexical_tok2,0.04003310443683684,0.047869891550481936,0.00794481706679665,0.010380669024672561
lexical_lem1,0.16583167860622644,0.1809133196386075,0.08451484288890264,0.09068412351275788
lexical_lem2,0.041617014677857556,0.050917556089268824,0.009138207706949663,0.011372783643511167
cosine_semanticL,0.4657238736737983,0.496463781060885,0.43431503598898347,0.45248558762061336
utterance_length1,9.966257668711657,8.551067961165048,13.551769331585845,11.114469772051535
utterance_length2,10.205521472392638,8.54485436893204,13.022280471821757,10.83994053518335
