,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,condition_info
0,0.8904742254638112,0.6141944653403288,0.9605843695071813,0.6909520926835989,0.2641601589592388,0.049547686273224624,0.34271888417493157,0.06615307793709582,time169-time167-cond0
1,0.9025410506718686,0.6533768018592957,0.9208805976238029,0.716438673667745,0.4644280164055075,0.08672750432890998,0.5216974455481354,0.09529257800132619,time127-time111-cond0
2,0.8943536935519919,0.7016695280326166,0.8458352453979525,0.7323822448088365,0.575678754680433,0.11203705304599067,0.6231223731208526,0.13533686309823476,time143-time125-cond0
3,0.43301270189221935,0.0,0.6933752452815365,0.14285714285714285,0.0,0.0,0.0,0.0,time102-time110-cond1
4,0.7242998211458076,0.3429995693951034,0.7319096393430202,0.3489932691912332,0.12024449127293316,0.002428544020872135,0.14327918092685246,0.0023109422187897258,time128-time138-cond1
5,0.3519662128652696,0.07133763750064216,0.3755261050788185,0.047637054444277724,0.38711732716791225,0.10481673094120897,0.3881288774281093,0.1040267021986087,time157-time133-cond0
6,0.5547001962252291,0.0,0.5547001962252291,0.0,0.0,0.0,0.0,0.0,time133-time157-cond0
7,0.9303041630375803,0.7444637856585958,0.9591536472508158,0.7777271608676462,0.5621731752419951,0.11577572538146286,0.6367089664897007,0.1679438245519263,time132-time108-cond1
8,0.9240737900357094,0.6724462891600349,0.9241895078307729,0.6791188546257158,0.39870759494364455,0.07527316888338453,0.4104243894627541,0.07897979438363913,time121-time143-cond0
9,0.7975735532814938,0.40555969978442286,0.9459038535344919,0.5648454604736538,0.3004745162186764,0.01911427548885322,0.371691760419921,0.08081307769629978,time104-time128-cond1
10,0.9039065303918725,0.5477435471568287,0.9142512927972085,0.5676753571414351,0.41084997467199263,0.041828706635336825,0.4086746183890759,0.05323726848529499,time157-time169-cond0
11,0.9268020069172215,0.641226765431608,0.9404002459153086,0.7185078080795937,0.4941086632595482,0.0971731028756637,0.5311680458915099,0.13698714248196767,time143-time145-cond0
12,0.6661747191490539,0.4004853262987377,0.6757317172096162,0.4237031969373216,0.39161490805827065,0.039532252717390824,0.46198660609687053,0.07162786510282042,time127-time165-cond0
13,0.9231860959674223,0.6385181276289078,0.9625351613438887,0.723249883023315,0.4553811486544701,0.1178343949044586,0.5118083493538718,0.1313321526830281,time111-time127-cond0
14,0.713117736211929,0.5944454429259128,0.8194444444444444,0.6465757501398396,0.0,0.0,0.024999999999999994,0.0,time165-time119-cond0
15,0.7573078546336899,0.2787249192455737,0.6773684488519089,0.24578204939437553,0.13248072600838098,0.006741615589173507,0.11783910641257153,0.006350326435013636,time125-time143-cond0
16,0.8976308918800057,0.7397387191871873,0.9147071415162743,0.7793928533136115,0.4767312946227961,0.10639198996316267,0.5321178573521087,0.13616948609319238,time169-time157-cond0
17,0.8003025783432007,0.40327769080547654,0.8351913809763263,0.507077078098765,0.36289316429683005,0.03529335439072736,0.3964693908876051,0.043233770116711694,time122-time138-cond1
18,0.6469818010393078,0.30343113537104127,0.6953293895651378,0.2847904163240111,0.10719087760032038,0.005423660258677627,0.10764027757301334,0.008043733802575781,time125-time121-cond0
19,0.7666131323661516,0.29097760867461947,0.8615658480464564,0.37137303770023355,0.1395390764128595,0.0,0.17246975748176038,0.0,time134-time132-cond1
20,0.3288326927328335,0.09958025762328651,0.296567549188983,0.136551854032741,0.4120973350026249,0.14942004753845686,0.4848055328892815,0.24174688920761409,time110-time102-cond1
21,0.7368132770992488,0.46876474570380267,0.7305810005830786,0.4363038942539106,0.5597035720352225,0.2540405191418362,0.6003051216804717,0.28828443188813496,time145-time143-cond0
22,0.8010188612495048,0.6084120597652835,0.8095626645249788,0.5799033566801058,0.17607637252229494,0.008815340134771909,0.22145130651938996,0.023980549385263453,time132-time134-cond1
23,0.5294828212378767,0.15970048930576594,0.5720460816036579,0.20666185684115762,0.3197321394705149,0.114803994297448,0.46696892798974104,0.13146771826719264,time127-time133-cond0
24,0.9451437679146532,0.7183108366253891,0.954396607961691,0.8142564489805945,0.420998922124862,0.06488843714982723,0.4937396963187376,0.08478266202881563,time167-time169-cond0
25,0.08950987670106891,0.028876538788280667,0.0628901795742547,0.019164732545885892,0.2821820076432525,0.0,0.27421414744520867,0.0,time169-time133-cond0
26,0.5022718878699165,0.09055089466573883,0.5594411289801906,0.11394165187012519,0.03177526659138488,0.0,0.029123530310162647,0.0,time138-time122-cond1
27,0.9118495138963784,0.7166867713674568,0.9348234579601824,0.7596217202470933,0.575306982315504,0.10182482351608317,0.6167460548910285,0.15518000051140554,time143-time121-cond0
28,0.55923278940108,0.3730019232961255,0.5976143046671968,0.3344968040028363,0.0,0.0,0.0,0.0,time133-time169-cond0
29,0.8379568703499166,0.6543575143161156,0.8451519890907494,0.7086682889879863,0.5386540389484576,0.11499414179309123,0.5527569500157283,0.11441859875309766,time121-time125-cond0
30,0.35603449745815596,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,time133-time127-cond0
31,0.48112004245812773,0.20400427775954938,0.47922511091285086,0.2419340561678093,0.03172837239538198,0.0,0.030503626647655834,0.0,time138-time128-cond1
32,0.6223219984249582,0.20868588094244706,0.7842007811032341,0.3912136889786791,0.25483123019648596,0.023509701163881222,0.24334019700209258,0.02279993375260873,time119-time165-cond0
33,0.9075755322862724,0.754141676132637,0.9372107526873722,0.7971907007846748,0.6474579379754256,0.1714093698292132,0.6954282890631444,0.2107933459598756,time108-time132-cond1
34,0.7313147560929848,0.4407297214890115,0.7024057044454158,0.3986886922745892,0.09222302795634713,0.0026454471021388525,0.09938942488652468,0.002514913646515424,time128-time104-cond1
35,0.543303597898214,0.12403473458920847,0.6471118349197933,0.23193180352135664,0.0,0.0,0.02350502473611342,0.0,time165-time127-cond0
